Order_ID,Customer,Country,Product,Category,Amount,Date
1,Sara,,Tablet,,44832,2024-01-01
2,Amit,UK,Tablet,Gadgets,47291,2024-01-01
3,Sara,UK,,electronics,2533,
4,Sara,,Laptop,,19869,01-02-2024
5,Raj,Germany,Laptop,Electronics,41534,March 5 2024
6,Amit,Germany,Headphones,,289,01-02-2024
7,,UK,Headphones,Gadgets,1367,
8,Praful,UK,,Gadgets,41706,2024-01-01
9,Praful,USA ,Phone,,8892,
10,,USA,Phone,Electronics,23997,2024-01-01
11,Amit,Germany,Headphones,Gadgets,23583,March 5 2024
12,Sara,,Tablet,electronics,36020,
13,Amit,Germany,Phone,electronics,11753,01-02-2024
14,Amit,Germany,,Gadgets,6973,
15,Amit,USA,Headphones,electronics,32706,
16,,USA ,Headphones,Electronics,24353,
17,Raj,,Phone,Gadgets,9368,
18,Amit,India,Headphones,,8671,2024-01-01
19,Praful,,,Electronics,49084,March 5 2024
20,Praful,India,Headphones,,48290,March 5 2024
21,John,India,Tablet,Gadgets,12766,2024-01-01
22,Amit,USA ,Phone,Electronics,22762,2024-01-01
23,Sara,USA,Laptop,,35322,01-02-2024
24,Raj,UK,Headphones,,11065,March 5 2024
25,John,India,Tablet,Electronics,8210,01-02-2024
26,John,India,,electronics,33370,March 5 2024
27,,USA ,Tablet,Electronics,306,March 5 2024
28,Amit,USA,Headphones,Electronics,48802,
29,Praful,Germany,,,22503,01-02-2024
30,Raj,USA ,,Gadgets,33927,2024-01-01
31,John,UK,Headphones,electronics,43789,2024-01-01
32,,India,,electronics,29567,
33,Sara,Germany,Headphones,electronics,43041,March 5 2024
34,Amit,USA ,Headphones,Electronics,44362,01-02-2024
35,Praful,India,Laptop,Gadgets,6876,
36,Raj,India,Tablet,Gadgets,22059,March 5 2024
37,Praful,india,,Electronics,32662,01-02-2024
38,Sara,USA ,Tablet,electronics,30403,
39,Praful,Germany,Laptop,electronics,46676,01-02-2024
40,Sara,Germany,Phone,Gadgets,23764,2024-01-01
41,Praful,India,Tablet,Electronics,28773,01-02-2024
42,Sara,india,,,7492,2024-01-01
43,John,india,Phone,Electronics,38659,01-02-2024
44,Sara,USA ,Tablet,,12788,March 5 2024
45,,,Headphones,electronics,297,01-02-2024
46,John,USA ,Laptop,Electronics,42207,March 5 2024
47,,,Tablet,,2911,March 5 2024
48,Sara,UK,Phone,Gadgets,30306,March 5 2024
49,Sara,USA ,Headphones,Electronics,19460,
50,Amit,India,Tablet,,8220,2024-01-01
51,Amit,USA ,Phone,Gadgets,16746,
52,Amit,India,Headphones,,46036,01-02-2024
53,Praful,india,Headphones,Electronics,29955,March 5 2024
54,Praful,India,Tablet,Gadgets,15251,
55,John,Germany,Laptop,,29399,March 5 2024
56,Praful,Germany,Headphones,electronics,48454,
57,,India,Tablet,Electronics,47040,01-02-2024
58,,USA,Phone,electronics,46860,
59,Praful,Germany,Laptop,electronics,25976,
60,Sara,USA ,Tablet,Electronics,4835,2024-01-01
61,Sara,UK,Tablet,electronics,19930,01-02-2024
62,,india,,Gadgets,10777,
63,John,UK,Phone,Electronics,32452,
64,Praful,,Headphones,Electronics,9107,March 5 2024
65,Sara,UK,Laptop,,8308,
66,Sara,india,,electronics,36312,01-02-2024
67,John,Germany,Laptop,Electronics,18811,2024-01-01
68,Praful,india,,Gadgets,799,2024-01-01
69,Sara,USA ,,Electronics,35843,March 5 2024
70,Praful,UK,Phone,Electronics,32845,March 5 2024
71,,USA,Tablet,,36731,01-02-2024
72,,USA ,Phone,Gadgets,16638,01-02-2024
73,Amit,USA,Laptop,,40964,2024-01-01
74,John,india,,electronics,19290,01-02-2024
75,John,USA,Laptop,,8816,
76,Amit,USA ,Laptop,,4880,
77,Praful,india,Headphones,Gadgets,13503,01-02-2024
78,Amit,USA ,Tablet,Electronics,49826,01-02-2024
79,Raj,india,Phone,electronics,31124,
80,Amit,india,Tablet,,27336,2024-01-01
81,Raj,Germany,Headphones,,49256,March 5 2024
82,Sara,india,,,32193,March 5 2024
83,John,USA ,Headphones,,29040,01-02-2024
84,Sara,USA,Tablet,Electronics,8411,March 5 2024
85,John,Germany,Phone,Gadgets,26045,2024-01-01
86,Amit,,Laptop,,9304,2024-01-01
87,Amit,USA,Laptop,Gadgets,46275,01-02-2024
88,,India,,Electronics,46052,
89,Raj,USA ,,electronics,8230,
90,Amit,UK,,electronics,19228,2024-01-01
91,,Germany,,Gadgets,13396,01-02-2024
92,,india,Headphones,Electronics,29999,
93,Amit,USA,,Gadgets,26311,2024-01-01
94,,india,,Gadgets,38749,01-02-2024
95,,,Headphones,electronics,40258,01-02-2024
96,Amit,UK,Phone,,42075,2024-01-01
97,Raj,Germany,Phone,Electronics,49215,
98,John,Germany,Headphones,electronics,12038,
99,Praful,India,,Gadgets,28174,2024-01-01
100,Sara,UK,Laptop,Electronics,46347,01-02-2024
101,John,Germany,,Electronics,20591,March 5 2024
102,,USA,,Gadgets,34950,March 5 2024
103,Praful,USA,,electronics,15405,01-02-2024
104,,USA,Tablet,Electronics,20458,
105,Amit,,Phone,Electronics,11438,2024-01-01
106,Sara,India,,Electronics,27484,
107,Amit,,Laptop,,47395,March 5 2024
108,Praful,UK,Headphones,electronics,5204,March 5 2024
109,,,Headphones,Electronics,20250,2024-01-01
110,Praful,UK,Laptop,electronics,46452,2024-01-01
111,,Germany,Laptop,electronics,798,March 5 2024
112,Praful,Germany,Headphones,Electronics,7500,March 5 2024
113,Sara,India,Headphones,electronics,32407,March 5 2024
114,Amit,USA ,,Electronics,37359,2024-01-01
115,Sara,UK,,,1267,2024-01-01
116,Raj,,Phone,electronics,11274,01-02-2024
117,Amit,,Tablet,Gadgets,9024,March 5 2024
118,John,USA,Headphones,Electronics,23725,01-02-2024
119,Sara,India,,electronics,1642,01-02-2024
120,Raj,USA,Laptop,electronics,23422,01-02-2024
121,Amit,,,Electronics,27062,
122,Raj,India,Headphones,Electronics,40362,2024-01-01
123,Raj,Germany,Headphones,electronics,23903,March 5 2024
124,John,,Headphones,electronics,26890,March 5 2024
125,Amit,USA,Tablet,Gadgets,15585,March 5 2024
126,Raj,,Phone,,3809,01-02-2024
127,Sara,Germany,,Gadgets,42444,March 5 2024
128,Praful,UK,,,604,March 5 2024
129,Sara,India,Laptop,,17412,01-02-2024
130,Raj,india,Phone,,45840,
131,Raj,,,,27609,2024-01-01
132,John,Germany,,,25926,March 5 2024
133,Sara,India,Phone,Gadgets,17740,2024-01-01
134,,USA ,Laptop,Electronics,44697,01-02-2024
135,John,USA ,Laptop,Gadgets,13423,01-02-2024
136,,Germany,Headphones,Electronics,29803,01-02-2024
137,Sara,Germany,Phone,,19229,
138,Amit,Germany,Headphones,Electronics,4935,
139,John,india,Laptop,Electronics,13316,2024-01-01
140,Sara,,Headphones,,17408,2024-01-01
141,,UK,,electronics,5813,March 5 2024
142,Raj,USA ,Laptop,electronics,109,
143,,USA,Tablet,Electronics,37992,March 5 2024
144,Praful,india,Laptop,electronics,8515,March 5 2024
145,Praful,UK,,electronics,4258,2024-01-01
146,,UK,Tablet,Electronics,46640,2024-01-01
147,Amit,India,Tablet,Gadgets,484,2024-01-01
148,,Germany,Laptop,Electronics,32706,2024-01-01
149,,UK,,Gadgets,23624,2024-01-01
150,Raj,USA,Phone,Gadgets,13556,2024-01-01
151,,India,Laptop,Gadgets,17200,
152,,India,Laptop,,42883,01-02-2024
153,Sara,USA ,Phone,electronics,43225,March 5 2024
154,John,USA,Headphones,Electronics,8527,2024-01-01
155,,india,Tablet,Electronics,23028,
156,Raj,,Phone,Gadgets,15881,
157,Sara,USA,Phone,electronics,8117,01-02-2024
158,John,UK,Phone,,29020,01-02-2024
159,Praful,USA ,Headphones,electronics,4954,01-02-2024
160,John,India,,Electronics,39911,01-02-2024
161,Praful,USA,Laptop,,37032,01-02-2024
162,,,Phone,Electronics,39137,March 5 2024
163,John,UK,Tablet,Gadgets,17244,March 5 2024
164,John,india,Headphones,,42779,2024-01-01
165,John,UK,Tablet,Electronics,49923,01-02-2024
166,Raj,USA,Tablet,Gadgets,21608,01-02-2024
167,Sara,USA,,electronics,13816,01-02-2024
168,Praful,,Laptop,,18877,01-02-2024
169,Amit,India,Phone,Electronics,16382,2024-01-01
170,Amit,India,Laptop,electronics,10578,
171,,UK,,Electronics,29821,
172,Praful,India,Tablet,Electronics,22295,March 5 2024
173,,india,Phone,,8250,01-02-2024
174,Amit,,Phone,electronics,15134,
175,John,USA ,Tablet,Gadgets,17402,01-02-2024
176,John,USA ,Headphones,Electronics,40541,01-02-2024
177,John,UK,Laptop,Gadgets,45640,
178,Amit,USA ,Laptop,Electronics,30026,01-02-2024
179,Amit,india,Headphones,Electronics,39156,2024-01-01
180,Sara,India,Headphones,electronics,8358,2024-01-01
181,Raj,USA,Headphones,Gadgets,26169,01-02-2024
182,Praful,Germany,Tablet,electronics,35340,2024-01-01
183,,Germany,Phone,,34629,March 5 2024
184,John,,,Electronics,27385,2024-01-01
185,,india,Headphones,electronics,10689,March 5 2024
186,Praful,USA ,Tablet,Gadgets,35458,
187,Raj,Germany,Phone,,14143,March 5 2024
188,Sara,USA ,Laptop,electronics,19035,01-02-2024
189,John,india,Laptop,electronics,946,March 5 2024
190,Amit,UK,,,6569,01-02-2024
191,,Germany,Tablet,,49476,
192,Praful,Germany,Laptop,electronics,13041,
193,,,Tablet,Gadgets,39856,March 5 2024
194,John,India,Phone,,109,2024-01-01
195,Amit,Germany,Phone,Electronics,5387,01-02-2024
196,Sara,India,,Electronics,19316,2024-01-01
197,John,USA ,Tablet,electronics,42178,2024-01-01
198,Raj,india,Headphones,,43029,01-02-2024
199,Raj,UK,Laptop,electronics,19119,March 5 2024
200,John,India,Headphones,,21952,
201,John,India,,electronics,30623,01-02-2024
202,John,,,Electronics,19382,March 5 2024
203,,USA,Headphones,Electronics,14160,01-02-2024
204,Praful,USA,Tablet,Electronics,6665,2024-01-01
205,Praful,India,Laptop,Electronics,11346,March 5 2024
206,Amit,india,,,26827,March 5 2024
207,John,india,Tablet,Gadgets,17686,
208,Amit,Germany,,Electronics,25153,March 5 2024
209,John,Germany,,electronics,32284,2024-01-01
210,Raj,,Tablet,Gadgets,2436,01-02-2024
211,Sara,india,Phone,electronics,37480,March 5 2024
212,Amit,India,,Gadgets,29586,
213,Raj,Germany,,,14482,
214,Sara,,Phone,Gadgets,16578,March 5 2024
215,John,Germany,Headphones,electronics,34984,
216,John,india,Phone,,10889,01-02-2024
217,Amit,india,Tablet,,10557,2024-01-01
218,,USA,Laptop,Electronics,26315,
219,John,Germany,Headphones,,15443,
220,Raj,,Phone,Electronics,41663,March 5 2024
221,Amit,India,Tablet,Electronics,44427,2024-01-01
222,,UK,Laptop,electronics,22216,2024-01-01
223,Amit,india,Headphones,electronics,19356,2024-01-01
224,,USA ,Tablet,,2808,March 5 2024
225,Praful,,Laptop,electronics,39324,2024-01-01
226,Amit,India,Tablet,Gadgets,49788,01-02-2024
227,John,india,Phone,Gadgets,8766,01-02-2024
228,John,India,Tablet,Gadgets,5071,March 5 2024
229,John,india,Laptop,Gadgets,5399,01-02-2024
230,Raj,India,Laptop,Electronics,28834,March 5 2024
231,,USA,Headphones,electronics,38456,2024-01-01
232,Praful,Germany,Laptop,Electronics,37111,01-02-2024
233,,Germany,,,20906,2024-01-01
234,Raj,india,Tablet,Gadgets,33819,March 5 2024
235,,india,,Electronics,21008,2024-01-01
236,,UK,Phone,Electronics,38358,March 5 2024
237,Amit,USA,Headphones,Electronics,26837,01-02-2024
238,,UK,Headphones,Electronics,12442,March 5 2024
239,John,USA,Phone,Gadgets,10193,01-02-2024
240,Sara,India,Headphones,,19946,2024-01-01
241,Praful,India,Tablet,,30778,March 5 2024
242,Raj,india,Laptop,Gadgets,3400,March 5 2024
243,John,India,Headphones,Gadgets,13675,01-02-2024
244,John,india,Tablet,,41224,01-02-2024
245,Raj,india,Phone,Gadgets,4525,March 5 2024
246,Praful,USA ,,Gadgets,20179,2024-01-01
247,John,Germany,,,8805,2024-01-01
248,Raj,Germany,Tablet,electronics,15458,01-02-2024
249,John,USA ,Headphones,,14696,2024-01-01
250,,india,Laptop,electronics,7183,March 5 2024
